Allocation_Status,Interface_Group,Board_Net,Package_Pin,FPGA_Pin_Function,GT_Location,Bank,VCCO_V,Direction,Differential_Mate,Clock_Capability,IOSTANDARD,Verification_Status,Notes
REQUIRED-TBD,Configuration,FPGA_CCLK,,CCLK_0,,0,3.3,OUT,,CONFIG,,AMD_PIN_FILE_REQUIRED,Master SPI configuration clock.
REQUIRED-TBD,Configuration,FPGA_FCS_N,,FCS_B,,14,3.3,OUT,,CONFIG,LVCMOS33,AMD_PIN_FILE_REQUIRED,QSPI flash chip select.
REQUIRED-TBD,Configuration,FPGA_QSPI_D0,,D00_MOSI,,14,3.3,BIDIR,,CONFIG,LVCMOS33,AMD_PIN_FILE_REQUIRED,QSPI IO0 / MOSI.
REQUIRED-TBD,Configuration,FPGA_QSPI_D1,,D01,,14,3.3,BIDIR,,CONFIG,LVCMOS33,AMD_PIN_FILE_REQUIRED,QSPI IO1.
REQUIRED-TBD,Configuration,FPGA_QSPI_D2,,D02,,14,3.3,BIDIR,,CONFIG,LVCMOS33,AMD_PIN_FILE_REQUIRED,QSPI IO2.
REQUIRED-TBD,Configuration,FPGA_QSPI_D3,,D03,,14,3.3,BIDIR,,CONFIG,LVCMOS33,AMD_PIN_FILE_REQUIRED,QSPI IO3.
REQUIRED-TBD,Configuration,FPGA_PROGRAM_N,,PROGRAM_B_0,,0,3.3,IN,,CONFIG,,AMD_PIN_FILE_REQUIRED,Dedicated configuration reset.
REQUIRED-TBD,Configuration,FPGA_INIT_N,,INIT_B_0,,0,3.3,BIDIR,,CONFIG,,AMD_PIN_FILE_REQUIRED,Configuration status; open-drain behavior.
REQUIRED-TBD,Configuration,FPGA_DONE,,DONE_0,,0,3.3,BIDIR,,CONFIG,,AMD_PIN_FILE_REQUIRED,Configuration complete status.
REQUIRED-TBD,Configuration,FPGA_PUDC_N,,PUDC_B,,14,3.3,IN,,CONFIG,,AMD_PIN_FILE_REQUIRED,Tie High through <=1 kohm to VCCO_14 per UG470 baseline decision.
REQUIRED-TBD,Configuration,FPGA_CFGBVS,,CFGBVS_0,,0,3.3,IN,,CONFIG,,AMD_PIN_FILE_REQUIRED,Tie High for 2.5/3.3 V configuration banks.
REQUIRED-TBD,Configuration,FPGA_M0,,M0_0,,0,3.3,IN,,CONFIG,,AMD_PIN_FILE_REQUIRED,Master SPI mode strap: 1.
REQUIRED-TBD,Configuration,FPGA_M1,,M1_0,,0,3.3,IN,,CONFIG,,AMD_PIN_FILE_REQUIRED,Master SPI mode strap: 0.
REQUIRED-TBD,Configuration,FPGA_M2,,M2_0,,0,3.3,IN,,CONFIG,,AMD_PIN_FILE_REQUIRED,Master SPI mode strap: 0.
REQUIRED-TBD,JTAG,FPGA_TCK,,TCK_0,,0,3.3,IN,,JTAG,,AMD_PIN_FILE_REQUIRED,Dedicated JTAG clock.
REQUIRED-TBD,JTAG,FPGA_TMS,,TMS_0,,0,3.3,IN,,JTAG,,AMD_PIN_FILE_REQUIRED,Dedicated JTAG mode select.
REQUIRED-TBD,JTAG,FPGA_TDI,,TDI_0,,0,3.3,IN,,JTAG,,AMD_PIN_FILE_REQUIRED,Dedicated JTAG data input.
REQUIRED-TBD,JTAG,FPGA_TDO,,TDO_0,,0,3.3,OUT,,JTAG,,AMD_PIN_FILE_REQUIRED,Dedicated JTAG data output.
PLANNED,Board control,PCIE_PERST_N,,Bank 15 HR I/O,,15,3.3,IN,,,LVCMOS33,PIN_SELECTION_TBD,Choose compatible Bank 15 pin after Vivado I/O planning and electrical review.
PLANNED,Local clock,SYS_CLK_100,,Bank 15 MRCC/SRCC,,15,3.3,IN,,MRCC/SRCC,LVCMOS33,PIN_SELECTION_TBD,Must use clock-capable pin. Exact pin depends on placement/clock-region planning.
PLANNED,Debug,USB_UART_TX,,Bank 15 HR I/O,,15,3.3,IN,,,LVCMOS33,PIN_SELECTION_TBD,USB-UART bridge TX -> FPGA RX.
PLANNED,Debug,USB_UART_RX,,Bank 15 HR I/O,,15,3.3,OUT,,,LVCMOS33,PIN_SELECTION_TBD,FPGA TX -> USB-UART bridge RX.
PLANNED,Control,I2C_SCL,,Bank 15 HR I/O,,15,3.3,BIDIR,,,LVCMOS33,PIN_SELECTION_TBD,Open-drain implementation / pull-up strategy to be defined.
PLANNED,Control,I2C_SDA,,Bank 15 HR I/O,,15,3.3,BIDIR,,,LVCMOS33,PIN_SELECTION_TBD,Open-drain implementation / pull-up strategy to be defined.
PLANNED,Instrumentation clock,EXT_CLK_P,,Bank 16/34/35 clock-capable P,,TBD,2.5,IN,EXT_CLK_N,MRCC/SRCC,LVDS_25,PIN_SELECTION_TBD,Choose differential clock-capable pair after connector/placement decision.
PLANNED,Instrumentation clock,EXT_CLK_N,,Bank 16/34/35 clock-capable N,,TBD,2.5,IN,EXT_CLK_P,MRCC/SRCC,LVDS_25,PIN_SELECTION_TBD,Differential mate.
PLANNED,Trigger,EXT_TRIGGER,,Conditioned FPGA input,,TBD,TBD,IN,,,TBD,INTERFACE_DECISION_TBD,FPGA bank depends on final trigger front-end standard.
